authorName,hIndex
Alfons Kemper,3
Michael D. Soo,3
Meichun Hsu,3
Kenneth Chisholm,3
W. Paul Cockshott,3
Alfred Z. Spector,3
Sylvia L. Osborn,3
Stefano Spaccapietra,3
Lawrence A. Rowe,3
Jorge F. Garza,3
Ilsoo Ahn,3
L. Edwin McKenzie,3
Joseph M. Hellerstein,2
Udo W. Lipeck,2
Antonin Guttman,2
Sheldon J. Finkelstein,2
Paul F. Wilms,2
Dennis Heimbigner,2
A. Prasad Sistla,2
Krzysztof R. Apt,2
Susan Horwitz,2
Rishiyur S. Nikhil,2
Fred B. Schneider,2
Dragutin Petkovic,2
Derek L. Eager,2
Raphael A. Finkel,2
David Hung-Chang Du,2
Reid G. Smith,2
Wei Zhao 0001,2
David Rozenshtein,2
Jacob Stein,2
Fabio Grandi,2
Harrick M. Vin,2
Dilip D. Kandlur,2
Stéphane Grumbach,2
Qiming Chen,2
Stephen S. Lavenberg,2
John L. Pfaltz,2
Vassos Hadzilacos,2
Willy Zwaenepoel,2
Y. C. Tay,2
David E. Smith,2
Ramanathan V. Guha,2
Daniel H. Fishman,2
John P. Lehoczky,2
Daniel J. Rosenkrantz,2
Arnold L. Rosenberg,2
Claudio Sartori 0001,2
Antonio L. Furtado,2
Eric K. Clemons,2
Susan Darling Urban,2
Andrea Neufeld,2
Tok Wang Ling,2
Ophir Frieder,2
Lee A. Hollaar,2
Gottfried Vossen,2
Dallan Quass,2
Richard D. Schlichting,2
Myron Flickner,2
John V. Carlis,2
Lois M. L. Delcambre,2
Danièle Gardy,2
To-Yat Cheung,2
Weimin Du,2
Adi Shamir,2
Yannis Papakonstantinou,2
Melvin Fitting,2
John C. Shepherdson,2
Johann A. Makowsky,2
David W. Stemple,2
S. Jerrold Kaplan,2
Giovanni Maria Sacco,2
M. W. Bright,2
David P. Anderson,2
Dale Skeen,2
John H. Boose,2
Alan J. Kent,2
Peter J. Bailey,2
Rafael Alonso,2
Hui-I Hsiao,2
Frank Wm. Tompa,2
Garth A. Gibson,2
James L. Peterson,2
Edgar H. Sibley,2
Per Brinch Hansen,2
David Beech,2
Nabil R. Adam,2
R. G. G. Cattell,2
Paul R. McJones,2
Gad Ariav,2
Bezalel Gavish,2
Haim Mendelson,2
Yigal Arens,2
Keki B. Irani,2
Yechiam Yemini,2
Rajan Suri,2
Eileen Tien Lin,2
Soumitra Sengupta,2
Hans-Ulrich Heiss,2
Robert Neches,2
Hyoung-Joo Kim,2
Peter Zabback,2
Alejandro P. Buchmann,2
Tim Teitelbaum,2
Leonard D. Shapiro,2
Arthur J. Bernstein,2
William J. Clancey,2
William R. Swartout,2
Gunter Schlageter,2
Stéphane Lafortune,2
Wei-Pang Yang,2
Frank Shou-Cheng Tseng,2
Glenn R. Thompson,2
Ragunathan Rajkumar,2
Alex Delis,2
Marc H. Scholl,2
François Bancilhon,2
Nicolas Spyratos,2
Arvola Chan,2
Peter P. Chen,2
Chris Buckley,2
Chaitanya K. Baru,2
Grant E. Weddell,2
Alexander Tuzhilin,2
