authorName,hIndex
Peter Heller,0
Don McKay,0
James R. Low,0
Henrick Yau,0
Michael Karr,0
David B. Loveman,0
Michael D. Cohen,0
Stephen A. Brobst,0
Franklyn A. Turbak,0
Neil A. M. Maiden,0
Alistair G. Sutcliffe,0
Ralph L. London,0
Amarnath Gupta,0
Peter W. Foltz,0
Rob Gerritsen,0
Henry Hamburger,0
Jerome C. Yochelson,0
John W. Young,0
George A. Miller,0
Kenneth C. Smith,0
H. B. Nguyen,0
Daniel S. Weld,0
Clark D. Thompson,0
Chun-Hyon Chang,0
Randal E. Bryant,0
Rubén Prieto Díaz,0
Mike P. Papazoglou,0
Chris J. Cheney,0
Sharon Sickel,0
Timothy J. Hickey,0
Sun Wu,0
Gérard M. Baudet,0
David Stevenson,0
Michael G. Kahn,0
Jay C. Ferguson,0
Karen A. Frenkel,0
Gordon J. van der Brug,0
Alok Aggarwal,0
Julien Green,0
C. Katz,0
Peter Naur,0
Adriaan van Wijngaarden,0
Friedrich L. Bauer,0
Michael Woodger,0
Bernard Vauquois,0
Klaus Samelson,0
Joseph Henry Wegstein,0
Heinz Rutishauser,0
C. P. Wang,0
H. Ling,0
James Allan,0
Chin-Hwa Lee,0
Carlo H. Séquin,0
J. K. Aggarwal,0
Soo-Young Lee,0
Jacky Akoka,0
Peter P. Uhrowczik,0
W. Grace Tang,0
Sriram Padmanabhan,0
Walter G. Wilson,0
Ambuj Goyal,0
Gilles Fecteau,0
Jimmy P. Strickland,0
Vern L. Watts,0
Richard L. Mattson,0
Jan Gecsei,0
Gianfranco Lamperti,0
Stefano Crespi-Reghizzi,0
Yiannis Yeorgaroudakis,0
Dimitri Konstnantas,0
Akis Fitas,0
Christine Braun,0
Eduardo Ostertag,0
K. Vidyasankar,0
J. E. L. Peck,0
C. H. Lindsey,0
Lambert G. L. T. Meertens,0
R. G. Fisker,0
B. J. Mailloux,0
Cornelis H. A. Koster,0
Michel Sintzoff,0
Stephen Slade,0
Doug Ierardi,0
B. Paul Jenq,0
Tom W. Keller,0
Liehuey Lee,0
Peter J. Varman,0
Rakesh M. Verma,0
Enrico Vicario,0
Daniele Zingoni,0
Edward A. Parrish,0
Ming-Ling Lo,0
Bernie J. Lofaso,0
Daniel P. Miranker,0
Howard Trickey,0
Timothy Griffin,0
Tolga Bozkaya,0
Taekyong Lee,0
Lei Sheng,0
Nevzat Hurkan Balkir,0
Meng-Lai Yin,0
Young-Gook Ra,0
Subrata Ghosh,0
Jong Soo Park,0
Martin F. van Bommel,0
Ushio Sumita,0
Stefen F. Lundstrom,0
Jerry C. Yan,0
Edmund H. Durfee,0
Martin Hardwick,0
David L. Spooner,0
Sha Guo,0
Mark Allen Weiss,0
Simon Parsons,0
Saso Dzeroski,0
Nada Lavrac,0
Carlo Carlesi,0
Haiyan Song,0
Jang-Jong Fan,0
Keh-Yih Su,0
Mingsen Guo,0
Howard W. Beck,0
Tarek M. Anwar,0
Jooseok Park,0
Steve Lehar,0
Andrew J. Worth,0
David N. Kennedy,0
Yue Huang,0
Yongjian Fu,0
Michael L. Greenberg,0
David M. Hart,0
Peter Pirolli,0
Vinod Goel,0
Robert R. Hoffman,0
Jasmina Pavlin,0
Jeffrey Stout,0
Danilo Montesi,0
Lee Naish,0
Philip W. Dart,0
Derek Frankforth,0
Robert Kooi,0
Gail M. Shaw,0
William F. Cody,0
Manish Arya,0
Arthur Toya,0
Gary Hallmark,0
Jean-Jacques Daudenarde,0
Shaye Koenig,0
Evelyn Duesterwald,0
Daniel T. Schuh,0
Cliff Click,0
Morton E. Winston,0
Douglas Herrmann,0
Roger Chaffin,0
David H. Ackley,0
W. C. Lin,0
Daryl McCullough,0
Birol Yürüten,0
Huaqing Wang,0
Hung-Chin Jang,0
Sam Yuan Sung,0
S. K. C. Subas,0
Ernest J. H. Chang,0
Wo-Shun Luk,0
Mimi Kao,0
Howard B. Reubenstein,0
Sergey Brin,0
Darren R. Hardy,0
C. Mic Bowman,0
Anand Rajaraman,0
Abdelsalam Heddaya,0
Abraham Kandel,0
Gérard P. Huet,0
D. Chow,0
Sami Mohammed Zaiddan,0
S. Kumar,0
Greg Nelson,0
Debasis Mitra 0001,0
János Komlós,0
Endre Szemerédi,0
Hilary Putnam,0
Gael N. Buckley,0
Malcolm Bauer,0
Stephen Jose Hanson,0
Edward Herskovits,0
Gerald DeJong,0
Klaus H. Hinrichs,0
Glenn Shafer,0
Roger Logan,0
Bernard Silver,0
Dave Plummer,0
John H. Gennari,0
Donald Kuehner,0
David H. D. Warren,0
Richard M. Stallman,0
Motoaki Iwasaki,0
Marek J. Sergot,0
Roland Traunmüller,0
Peter Pistor,0
Matti Jakobsson,0
M. Gargano,0
Maurizio Talamo,0
Richard A. Harshman,0
Scott C. Deerwester,0
Dominique Rieu,0
Gia Toan Nguyen,0
Craig G. Nevill-Manning,0
Randal J. Peters,0
Adriana Muñoz,0
Boman Irani,0
Anna Lipka,0
Zhe Li,0
Yu-lung Lo,0
Robert P. Trueblood,0
John Wilkes,0
Chris Ruemmler,0
Margaret Chock,0
George Homsy,0
Virginia E. Ogle,0
George Colliat,0
Christopher Reedy,0
Louis Reich,0
Thomas Burns,0
David Jefferson,0
Richard Knox,0
Walter Truszkowski,0
Simon R. Monk,0
Abhirup Chatterjee,0
Rob Pezzoli,0
Jiansan Chen,0
Christophe de Maindreville,0
Jerry Kiernan,0
Ricky Overmyer,0
Christine Collet,0
Jørgen Fischer Nilsson,0
Hartmut Wedekind,0
Chu P. Wang,0
Barbara J. Bell,0
Laurent Vieille,0
Howard A. Blair,0
Gernot Salzer,0
Krishnamurthy Meenakshi,0
Terrance Swift,0
William F. Dowling,0
Houtan Aghili,0
Lucy Garnett,0
Gregory D. Speegle,0
Amir Milo,0
Jeannie Shands,0
Tomás Isakowitz,0
Joseph A. Wald,0
Rod Price,0
Christos A. Polyzois,0
Nagui Halim,0
Richard P. King,0
Robert C. Goldstein,0
Mary E. S. Loomis,0
Behrooz A. Shirazi,0
Annemarie Spauster,0
Michael N. Nelson,0
Brent B. Welch,0
Prakash Panangaden,0
Glenn H. MacEwen,0
Edwin E. Tozer,0
D. A. Hawley,0
J. S. Knowles,0
R. Bonnano,0
George O. Ofori-Dwumfuo,0
Jadzia Cendrowska,0
Philippe Vigier,0
Abdelmalek Zeroual,0
Abdellaziz Abdellatif,0
Bertrand Nicolas,0
Richard Marshall,0
Iqbal Ahmed,0
Hamideh Afsarmanesh,0
Bruce Schuchardt,0
P. David Stotts,0
Guy Hochgesang,0
Maria Hanrahan,0
Al Khorasani,0
Arthur C. Ammann,0
Paula Sweeney,0
Anthony Bolmarcich,0
Kuan-Tsae Huang,0
Howard E. Sturgis,0
J. Mitchell,0
J. Israel,0
William Edwards,0
Deborah DuBourdieux,0
Gary J. Nutt,0
George G. Dodd,0
Eliezer Levy,0
Richard J. Cichelli,0
Jair M. Babad,0
Virginia E. Barker,0
Dennis E. O'Connor,0
Henry S. Warren Jr.,0
Malcolm C. Harrison,0
Robert M. Keller,0
Harry E. Pople,0
Gerhard Jaeschke,0
Krishnamurthi Kannan,0
William H. Stellhorn,0
Keinosuke Fukunaga,0
Patrenahalli M. Narendra,0
Larry Fujitani,0
Robert H. Morris Sr.,0
C. W. Medlock,0
Edward S. Lowry,0
Didier Le Gall,0
Wolf Kohn,0
D. Derochette,0
Arthur M. Langer,0
Annie W. Shum,0
Premkumar T. Devanbu,0
Joseph A. Fisher,0
Randolf D. Nelson,0
James Z. Teng,0
Robert A. Gumaer,0
Joseph E. Siwiec,0
Rodney M. Goodman,0
Antony Stamenas,0
Nikos Economou,0
Wherly Hoffman,0
Jonathan Y. Y. Lin,0
William Perrizo,0
David M. Dilts,0
Wenhua Wu,0
Heidi Gregersen,0
George W. Hart,0
B. Gopinath,0
Gennaro Costagliola,0
Genoveffa Tortora,0
A. E. Lang,0
Luis Ramos,0
Adegbeniga Ola,0
Silvano Mussi,0
Jin-Fu Chang,0
Shyi-Ming Chen,0
Timothy W. Finin,0
Jon Bosak,0
Anton P. Karadimce,0
John V. Harrison,0
Carolyn West,0
Pat Ward,0
Chung-Min Chen,0
Stephen Kelley,0
William DuMouchel,0
Ron Cytron,0
Thomas Lengauer,0
Thomas J. McCabe,0
Diane L. Davison,0
Brigitte Plateau,0
Johanna D. Moore,0
Marianne Winslett Wilkins,0
George Peterka,0
Maggie Y. L. Ip,0
Chin-Chen Chang,0
Sung-Jo Kim,0
David Farmer,0
David Myers,0
Claudette Testemale,0
Donald R. Morrison,0
Stephen Warshall,0
Marshall L. Fisher,0
Dorit S. Hochbaum,0
William McCune,0
John Mingers,0
John Seely Brown,0
Paul A. Martin,0
Douglas E. Appelt,0
G. Anthony Gorry,0
John E. Hopcroft,0
Amihood Amir,0
Anne Putkonen,0
D. Mishra,0
Bernhard Seeger,0
Kurt Rothermel,0
Adam Sah,0
Carl Staelin,0
Jeff Sidell,0
Andrew Yu,0
Avi Pfeffer,0
Terry A. Welch,0
George Karabatis,0
Lorenzo Martino,0
Robert Y. Hou,0
Gregory R. Ganger,0
Bruce L. Worthington,0
Malcolm C. Easton,0
Charles S. Roberts,0
Achim Jung,0
Boris Altman,0
Lori Alperin Resnick,0
Fern Halper,0
Alan Lazar,0
Joachim Hammer,0
Christopher F. Herot,0
Jane Fedorowicz,0
Panos K. Chrysanthis,0
Bin Zhang 0004,0
Joseph F. Traub,0
Henryk Wozniakowski,0
Dean Jacobs,0
Khaled A. S. Abdel-Ghaffar,0
Mika Miyagishima,0
Yasuo Yamane,0
Fumihiko Kozakura,0
Masaaki Aoshima,0
Fumio Suzuki,0
Alexander Aiken,0
K. V. S. V. N. Raju,0
Arun K. Majumdar,0
Yoshitomo Osawa,0
Ramesh Govindan,0
Kai Li 0001,0
Mendel Rosenblum,0
Nancy P. Kronenberg,0
Samuel J. Leffler,0
William N. Joy,0
Marshall K. McKusick,0
David J. Harper,0
Andrew D. M. Walker,0
Alfred G. Dale,0
R. G. Parsons,0
C. V. Yurkanan,0
Harold J. Steudel,0
Brian J. Cragun,0
Hans Tebra,0
Daniel Alexander Ford,0
David M. Choy,0
Aristides A. G. Requicha,0
Adnan H. Yahya,0
Edgar Knapp,0
Henry G. Baker Jr.,0
E. Douglas Jensen,0
Le Huu Nguyen,0
G. Jack Lipovski,0
Stephen I. Gallant,0
Micah Beck,0
Puneet Kumar 0001,0
Maria E. Okasaki,0
Ellen H. Siegel,0
David C. Steere,0
Donald J. Haderle,0
Robert D. Jackson,0
Judith N. Froscher,0
Robert J. K. Jacob,0
Ann Linville,0
Eitetsu Oomoto,0
Jeff A. Bilmes,0
William J. Frawley,0
Johannes Klein,0
Karl Kleissner,0
Joe D. Warren,0
Karl J. Ottenstein,0
Patrick Lincoln,0
William R. Shockley,0
Mario P. Vecchi,0
D. Gelatt Jr.,0
Scott Kirkpatrick,0
Smadar T. Kedar-Cabelli,0
Manfred Schmidt-Schauß,0
Robert C. Moore,0
Alex Moenkeberg,0
R. Lescoeur,0
Jean-Marc Kerisit,0
Jean Rohmer,0
James Ong,0
Dennis Fogg,0
Marti A. Hearst,0
T. Y. Cliff Leung,0
Krishna G. Kulkarni,0
Wolfgang Käfer,0
Suryanarayana M. Sripada,0
Virginia Mary Lo,0
Bill Nitzberg,0
Pankaj Gupta,0
Chin Y. Chee,0
Chun-Nan Hsu,0
Liz Sonenberg,0
Ludger Becker,0
Johann Christoph Freytag,0
Rom Langerak,0
Gary G. Hendrix,0
David Ittner,0
John A. Muckstadt,0
Charles Welty,0
Jinglie Dou,0
Alexander Brodsky 0001,0
Volkert Brosda,0
J. J. Florentin,0
F. Ho,0
A. Pathria,0
Maria Pia Papa,0
M. Theodoridou,0
T. G. Lewis,0
John C. Wortmann,0
Brian M. Oki,0
David Goldberg 0001,0
Abel Weinrib,0
Kuo Chi Lee,0
Gita Gopal,0
Gary E. Herman,0
Thomas F. Bowen,0
Takako M. Hickey,0
William H. Mansfield,0
John Raitz,0
K. Dan Levin,0
Alain J. Martin,0
Elisabeth F. M. Steffens,0
Russell R. Atkinson,0
Craig Schaffert,0
Edward H. Sussenguth Jr.,0
Jacobo Valdes,0
Rajendra K. Kanodia,0
Harry Wu,0
Leonard M. Adleman,0
Etienne Morel,0
Claude Renvoise,0
Stephen Todd,0
Toshiro Wakayama,0
Santiago Gómez 0001,0
Gautam Bhargava,0
Motoi Suwa,0
A. Carlisle Scott,0
Yatin P. Saraiya,0
Katherine A. Morris,0
Robert B. Stam,0
Yat-Sang Kwong,0
Susan H. Shattuck,0
Channah F. Naiman,0
Mark J. Eisner,0
Thomas C. Lowe,0
Neil Sarnak,0
Kenichi Hagihara,0
Kenichi Taniguchi,0
Nickolas Kangerlaris,0
Yann Dupont,0
Tosiyasu L. Kunii,0
J. Spruce Riordon,0
Samy A. Mahmoud,0
Cheing-Mei Suen,0
Aditya N. Saharia,0
Leland L. Beck,0
Linda Winger,0
Mamoru Maekawa,0
Sunit K. Gala,0
Mark Scheevel,0
Heidi Stettner,0
Nadene Lynn,0
Geoff R. Dowling,0
M. J. Elphick,0
Robert P. Goldberg,0
Carl E. Landwehr,0
R. D. Harrison,0
L. A. Wehr,0
J. L. Ryder,0
R. H. Canaday,0
Evan L. Ivie,0
Kenneth F. Siler,0
Ajay Kajla,0
Dimitris N. Metaxas,0
John Tullis,0
Richard Bruno,0
Qi Yang,0
Charles T. Davies Jr.,0
Richard A. Crus,0
Akira Shibamiya,0
Patricia S. Worthington,0
Christopher R. Looseley,0
Magdi N. Kamel,0
Wenyu Lu,0
Roger Barker,0
Claudine M. Breant,0
Hyuck Yoo,0
Himawan Gunadhi,0
David Vineyard,0
Robert Gray,0
David J. Linton,0
C. Russel Szelag,0
Tobin J. Lehman,0
Peter J. Downey,0
James W. Layland,0
Tim Niblett,0
Peter Clark,0
Radu Popescu-Zeletin,0
Clesio Saraiva dos Santos,0
J. H. Liou,0
Philippe De Smedt,0
Abbas Rafii,0
Jungyun Seo,0
K. Sundar Das,0
Jonathan E. Shopiro,0
T. Y. Leung,0
Karl Unterauer,0
Shaul Dar,0
Daniel L. Slotnick,0
Waleed A. Muhanna,0
Michael F. Mitoma,0
Frederick H. Lochovsky,0
Richard C. Holt,0
Randall L. Frank,0
Richard J. Enbody,0
Frank G. Halasz,0
A. Chesnais,0
Isi Mitrani,0
Tom Kehler,0
J. Strother Moore,0
Raymond F. Boyce,0
Burton H. Bloom,0
Paul Hurley,0
Laszlo A. Belady,0
H.-Bernhard Paul,0
Santanu Paul,0
Jeffrey R. Bach,0
Sreekumar T. Shenoy,0
Don Reichart,0
Andrew Layman,0
Adam Bosworth,0
Murali Venkatrao,0
Frank Pellow,0
Preston A. Cox,0
Simon M. Kao,0
Jackson Y. Read,0
James L. Schmidt,0
Charles W. Dissly,0
Werner R. Uhrig,0
Peter Mason,0
Ronald K. Stamper,0
James A. Weeldreyer,0
King-Ip Lin,0
T. L. Anderson,0
Peter D. Ting,0
T. E. Heaven,0
Mechtild Wallrath,0
Derrell V. Foster,0
Lawrence W. Dowdy,0
Robert E. Wagner,0
Deanne Pecora,0
Tin A. Nguyen,0
Walton A. Perkins,0
Yandong Cai,0
Wing Shing Wong,0
M. Erol Arkun,0
Ron Barber,0
Behrokh Samadi,0
Lothar F. Mackert,0
Joan Feigenbaum,0
Michel Scholl,0
John S. Sobolewski,0
Henry D. Anderson,0
Naser S. Barghouti,0
Edgar M. Cagley,0
William J. Berman,0
John O. Lacy,0
Daniel G. Keehn,0
Waqar Hasan,0
Thomas Joseph,0
Lawrence W. McVoy,0
Tatuo Nakanishi,0
David Steele,0
Jonathan Ashley,0
Qian Huang,0
Denis Lee 0001,0
Monika Gorkani,0
Peter Yanker,0
Robert E. Frankel,0
Victor Goodman,0
Margaret J. Corasick,0
Ph. Leblanc,0
Daryl Porter,0
C. W. Yan,0
Donald C. Dimitroff,0
John Alan Robinson,0
Yu-Chi Ho,0
Cesare A. Galtieri,0
J. Skeen,0
Dennis Ritchie,0
Richardo Duhne,0
Ruben Gamboa,0
David Kinkade,0
Fred Carter,0
Berl Hartman,0
Gomer Thomas,0
Paul Butterworth,0
K. P. Smith,0
K. Tsukuda,0
J. R. Barnett,0
Patrick J. Hayes,0
Priti Mishra,0
Greg Kemnitz,0
Chyuan Shiun Lin,0
R. Ledin,0
Angelika Reiser,0
Hans Heller,0
Paicheng Chu,0
Thomas Sager,0
Gordon Landis,0
Tomas Lozano,0
Masaru Kitsuregawa,0
Tohru Moto-Oka,0
Hidehiko Tanaka,0
Abdelaziz Abdellatif,0
Joost Verhofstad,0
Neil Coburn,0
Peter Wegner,0
Wing S. Wong,0
Hai-Yann Hwang,0
Terry A. Landers,0
James G. Schmolze,0
Dongqing Yang,0
William Alexander,0
Scott Danforth,0
Brian E. Hart,0
Larry Clay,0
Marc G. Smith,0
Jorma Rissanen,0
John McPherson,0
Eugene J. Shekita,0
George Lapis,0
Walter Chang,0
Don Haderle,0
Allan Bricker,0
Rick Rasmussen,0
Philip Yen-Tang Chang,0
E. C. Chow,0
Brom Mahbod,0
Marie-Anne Neimat,0
H. P. Cate,0
Tim Connors,0
J. W. Davis,0
T. A. Ryan,0
C. G. Hoch,0
Hervé Gallaire,0
Robert H. Thomas,0
Hans Hinterberger,0
Jürgen Koch,0
Karel Youssefi,0
Peter Kreps,0
Vera Watson,0
